"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","sex","age","educ","income","fruitsperday","vegsperday","ffq_veg_tomatoes","ffq_veg_stringbeans","ffq_veg_beans","ffq_veg_peas","ffq_veg_broccoli","ffq_veg_cauliflower","ffq_veg_cabbage","ffq_veg_carrot","ffq_veg_squash","ffq_veg_sweetpotatoes","ffq_veg_check6","ffq_veg_kale","ffq_veg_spinach","ffq_veg_lettuce","ffq_veg_celery","ffq_veg_peppers","ffq_veg_onions","ffq_veg_asparagus","ffq_veg_mushrooms","FFQ_F_grapes","ffq_fruit_bananas","ffq_fruit_canaloupe","ffq_fruit_avocado","ffq_fruit_apples","ffq_fruit_pears","ffq_fruit_oranges","ffq_fruit_grapefruit","ffq_fruit_check30","ffq_fruit_strawberries","ffq_fruit_blueberries","ffq_fruit_peaches","ffq_fruit_plums","ffq_time_First.Click","ffq_time_Last.Click","ffq_time_Page.Submit","ffq_time_Click.Count","e01","e02","e03","e04","e05","e06r","e07r","e08","check_2","m01","m02","m03","m04","m05","m06","m07r","m08","check_7","b01","b02r","b03","b04","b05r","b06","b07r","b08","b09","b10","b11","b12r","assignmentId","hitId","workerId","surv_time","surv_pay"
"Start Date","End Date","Response Type","07ceb499159bef0b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",NA,NA,"Distribution Channel","User Language","Please indicate your gender","Please enter your age","What is the highest level of education or degree that you have attained?","What is your annual household income?","On an average day, about how many servings of fruit do you eat? For most fruits, a serving is one cup raw fruit or 1/2 cup cooked fruit.","On an average day, about how many servings of vegetables do you eat? For most vegetables, a serving is one cup raw vegetables or 1/2 cup cooked vegetables. For leafy vegetables like lettuce, a serving is 2 cups raw or 1 cup cooked.","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Tomatoes (1 large or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - String beans (1 cup cooked)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Beans or lentils, baked, dried or soup (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Peas or lima beans (1 cup fresh, frozen, canned)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Broccoli (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Cauliflower (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Cabbage or coleslaw (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Carrots (1 carrot or 4-8 sticks)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Eggplant, zucchini, or Squash (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Sweet potatoes or yams (1 large or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Please select one to two per week","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Kale, mustard greens or chard (1 cup cooked, 2 cups raw)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Spinach, cooked (1 cup) or raw (2 cups)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Lettuce, Iceberg or Romaine (2 cups)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Celery (2 large stalks or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Peppers: green, yellow, or red (1 large or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Onions, raw (1 cup) or cooked (1/2 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Asparagus (6 spears or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Mushrooms, raw or cooked (1/2 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Grapes (32 or 1 cup) or Raisins (1 oz)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Bananas (1)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Cantaloupe (2 wedges or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Avocado (1/2 fruit or 1/2 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Apples (1 small) or Applesauce (1/2 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Pears (1)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Oranges (1 large)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Grapefruit (1 medium-sized or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Please select one per day or more","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Strawberries, fresh, frozen or canned (8 or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Blueberries, fresh, frozen or canned (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Peaches (1 fresh or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Plums (2-3 or 1 cup)","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","""People who regularly eat fruits and vegetables rarely get sick.""","""People who don’t eat the recommended amount and variety of fruits and vegetables are increasing their risk of serious diseases like heart disease and cancer.""","""Eating the recommended amount of fruits and vegetables can make you feel better in a very short period of time.""","""People who have health problems as they age could have prevented those problems by eating more fruits and vegetables when they were younger.""","""You can’t ever feel your best if you’re not eating fruits and vegetables regularly.""","""Whether you eat well or not won’t make much difference if your genetics predispose you to be unhealthy.""","""As you get older, you are likely to develop health problems regardless of how you eat.""","“If someone was going to make just one change to their lifestyle to improve their health, either eating more fruits and vegetables, getting more sleep, exercising more, or drinking less alcohol, they should eat more fruits and vegetables.”","""For this item please choose 'disagree' to show that you are paying attention.""","""If the price of produce increased, I’d cut back on spending elsewhere so I could still purchase the recommended amount of fruits and vegetables.""","""To me it would be worth spending an extra 15 minutes on preparation to incorporate more vegetables into a meal.""","""I’m willing to drive a good deal out of my way to the grocery store if it means having a better selection of fresh produce.""","""I plan to learn new cooking techniques so that I can make vegetables tastier.""","""I’m willing to take time each week to plan and be strategic about my shopping so I can always have fruits and vegetables on hand, whether they be fresh or frozen.""","""I’m going to plan my meals and shopping so that I am eating a vegetable-based meal like a salad for several meals each week.”","""I know I should eat more fruits and vegetables but I don’t feel very motivated to do so.""","""If I’m ordering pizza I’m going to make an effort to make it healthier by adding vegetable toppings like mushrooms, onions, or peppers.""","""For this item please choose 'strongly agree' so we know you are paying attention.""","""Cooking or preparing fruits and vegetables takes more time and energy than I can often spend.""","""Financially, I have no problems affording a variety of fruits and vegetables.""","""Fruits and vegetables are too expensive to purchase regularly.""","""When I purchase fruits and vegetables, I find they often go bad too quickly to be eaten.""","""I enjoy the taste of most vegetables.""","""Where I live, it can be hard to find fruit that is in season and tastes good.""","""My family members like to eat a variety of fruits and vegetables.""","""I worry about the pesticides used on fruits and vegetables sold in most stores.""","""I eat many of my meals out at places that do not typically serve many fruits or vegetables.""","""My need for convenient foods sometimes limits my food choices.""","""I'm often disappointed when I purchase fruit because it doesn't end up being ripe or flavorful.""","""Flavorful and high-quality fruits and vegetables are readily available where I live, even in the winter.""","assignmentId","hitId","b953548792ca98d5","surv_time","surv_pay"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","c91890b20bf88706","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID54""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_194""}","{""ImportId"":""QID16_225""}","{""ImportId"":""QID16_226""}","{""ImportId"":""QID16_227""}","{""ImportId"":""QID16_228""}","{""ImportId"":""QID16_229""}","{""ImportId"":""QID16_230""}","{""ImportId"":""QID16_231""}","{""ImportId"":""QID16_232""}","{""ImportId"":""QID16_233""}","{""ImportId"":""QID16_234""}","{""ImportId"":""QID16_235""}","{""ImportId"":""QID16_236""}","{""ImportId"":""QID16_237""}","{""ImportId"":""QID16_238""}","{""ImportId"":""QID16_239""}","{""ImportId"":""QID16_240""}","{""ImportId"":""QID16_241""}","{""ImportId"":""QID16_242""}","{""ImportId"":""QID17_156""}","{""ImportId"":""QID17_175""}","{""ImportId"":""QID17_176""}","{""ImportId"":""QID17_177""}","{""ImportId"":""QID17_178""}","{""ImportId"":""QID17_179""}","{""ImportId"":""QID17_180""}","{""ImportId"":""QID17_181""}","{""ImportId"":""QID17_182""}","{""ImportId"":""QID17_183""}","{""ImportId"":""QID17_184""}","{""ImportId"":""QID17_185""}","{""ImportId"":""QID17_186""}","{""ImportId"":""QID51_FIRST_CLICK""}","{""ImportId"":""QID51_LAST_CLICK""}","{""ImportId"":""QID51_PAGE_SUBMIT""}","{""ImportId"":""QID51_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID50""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","1e4c866bda044438","{""ImportId"":""surv_time""}","{""ImportId"":""surv_pay""}"
"2019-02-12 09:02:08","2019-02-12 09:04:19","0","c9be6b90767a1b1c","100","131","1","2019-02-12 09:04:20","R_2bHiZ9KLa4mPFpM","","","","",39.65,-84.17,"anonymous","EN","1","37","4","0","0.25","0.25","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2.5","1","1","1","1","1","1","1","30","1","1","1","1","0.854","21.555","22.478","27","4","4","4","4","4","3","2","4","2","1","1","1","1","1","1","4","7","7","7","4","3","4","4","3","4","4","4","4","4","4","3QRYMNZ7FYHPS1Z4TBE61U95GJQTND","3BVS8WK9Q0VUWUW2675R88CE6QLIBD","de909488cc9911c3","10","1.40"
"2019-02-12 09:02:13","2019-02-12 09:04:47","0","090360e349e2343c","100","154","1","2019-02-12 09:04:47","R_tL3vvgD5ZzkQdG1","","","","",36.09,-115.09,"anonymous","EN","1","21","5","5","1","3","16","16","1","1","16","16","16","16","1","1","6","2.5","1","1","1","30","30","30","16","1","30","1","1","1","1","16","1","30","1","1","2.5","2.5","1.4","30.161","32.031","29","4","4","4","4","4","4","4","4","2","4","4","4","4","4","4","4","4","7","4","4","4","4","4","4","4","4","4","4","4","4","33M4IA01QG1HOG0GRSWKZHZLUC3RXI","3BVS8WK9Q0VUWUW2675R88CE6QLIBD","a3eb9b0943d7b4b4","10","1.40"
"2019-02-12 09:01:56","2019-02-12 09:04:52","0","804a7702751306e5","100","175","1","2019-02-12 09:04:52","R_TouiT1x78fmBhpT","","","","",34.78,-96.69,"anonymous","EN","1","41","4","6","1","1","1","1","1","1","1","1","1","2.5","2.5","1","6","1","2.5","6","1","2.5","6","2.5","1","6","6","1","2.5","2.5","2.5","2.5","1","30","6","1","6","1","0","0","25.136","0","2","1","7","6","5","7","2","5","2","5","6","5","6","5","5","2","3","7","6","1","7","7","3","7","3","7","7","2","7","1","3IX2EGZR7BJGTWVRAOHJ88R6JEOJRM","3BVS8WK9Q0VUWUW2675R88CE6QLIBD","9d6480a0e6d85281","10","1.40"
"2019-02-12 09:02:09","2019-02-12 09:05:06","0","2e25758ebe648268","100","176","1","2019-02-12 09:05:06","R_1ND5qtJqXdzU8cv","","","","",39.38,-74.61,"anonymous","EN","0","25","3","6","1","1","6","1","6","2.5","1","1","2.5","2.5","1","2.5","2.5","16","6","6","6","6","16","6","2.5","2.5","2.5","2.5","1","2.5","6","16","2.5","1","1","2.5","1","1","1.051","8.932","18.675","4","4","2","3","2","6","4","6","5","2","5","4","3","2","2","4","4","5","7","3","5","4","6","3","5","4","5","6","4","3","2","369J354OFDADGB76AUTI008UVZU6G8","3BVS8WK9Q0VUWUW2675R88CE6QLIBD","8f54bc6ba6e7054f","10","1.40"
"2019-02-12 09:03:28","2019-02-12 09:05:16","0","c7c898cb9e84969e","100","108","1","2019-02-12 09:05:16","R_2nIKdD0UxnjkJjz","","","","",34.62,-86.06,"anonymous","EN","0","32","5","2","4","0.5","30","1","30","16","1","6","6","16","6","6","6","2.5","2.5","1","1","1","2.5","16","30","16","2.5","6","16","6","6","16","1","30","30","6","16","2.5","6.226","12.627","14.246","3","5","4","1","5","7","5","5","6","2","3","7","2","6","2","5","4","2","7","5","7","6","4","2","5","4","3","4","4","1","5","3QUO65DNQUOMAZE5UV4TLFVCP72OUE","3BVS8WK9Q0VUWUW2675R88CE6QLIBD","c14e38d2c8fea5e9","10","1.40"
"2019-02-12 09:02:05","2019-02-12 09:05:19","0","ca9b8605991e6ef6","100","194","1","2019-02-12 09:05:20","R_3I6vsO19oUTrvVj","","","","",30.57,-90.48,"anonymous","EN","0","41","4","6","2","2","6","6","6","6","2.5","2.5","1","1","2.5","2.5","6","1","6","16","6","6","1","2.5","6","6","1","1","6","6","1","16","1","30","6","6","1","1","1.956","24.163","24.898","28","3","4","4","5","4","5","3","2","2","4","7","7","6","6","6","6","2","7","6","2","7","3","2","6","1","6","7","7","6","2","3TY7ZAOG5FKN4MHAYWYGPRQWPDOK0N","3BVS8WK9Q0VUWUW2675R88CE6QLIBD","2ebf33aea52f84dc","10","1.40"
"2019-02-12 09:02:02","2019-02-12 09:05:27","0","9690f2bbcc6b6dcb","100","205","1","2019-02-12 09:05:27","R_3DbXepZfiXxkS6W","","","","",30.34,-97.67,"anonymous","EN","1","35","4","1","3","2","1","2.5","2.5","2.5","2.5","2.5","6","1","2.5","2.5","6","1","1","1","6","1","1","2.5","6","6","6","2.5","2.5","2.5","2.5","16","2.5","30","6","2.5","6","1","1.106","25.141","27.193","31","3","3","5","5","2","5","3","2","2","2","2","5","5","3","5","5","2","7","3","5","6","2","3","5","3","6","5","3","4","2","36AHBNMV1RCCNB7LENN2D6PQHH6DY4","3BVS8WK9Q0VUWUW2675R88CE6QLIBD","f94ef5a59f1822ea","10","1.40"
"2019-02-12 09:02:08","2019-02-12 09:05:33","0","7a609b997cefcc0d","100","204","1","2019-02-12 09:05:33","R_2Wx4SgY8aSJ6THx","","","","",42.96,-72.3,"anonymous","EN","0","33","2","1","2","2","1","30","1","1","30","2.5","1","1","2.5","1","6","1","30","2.5","2.5","1","1","1","1","1","1","1","30","1","1","1","1","30","1","1","1","1","2.098","20.658","21.169","27","6","6","6","6","6","6","3","6","2","6","6","1","6","6","7","7","1","7","6","2","6","6","2","6","2","6","6","6","6","2","3Y54SXRO1LL2NRJDQCQSFP1ZOFJTU5","3BVS8WK9Q0VUWUW2675R88CE6QLIBD","958829f1ee6900c1","10","1.40"
