"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","sex","age","educ","income","fruitsperday","vegsperday","ffq_veg_tomatoes","ffq_veg_stringbeans","ffq_veg_beans","ffq_veg_peas","ffq_veg_broccoli","ffq_veg_cauliflower","ffq_veg_cabbage","ffq_veg_carrot","ffq_veg_squash","ffq_veg_sweetpotatoes","ffq_veg_check6","ffq_veg_kale","ffq_veg_spinach","ffq_veg_lettuce","ffq_veg_celery","ffq_veg_peppers","ffq_veg_onions","ffq_veg_asparagus","ffq_veg_mushrooms","FFQ_F_grapes","ffq_fruit_bananas","ffq_fruit_canaloupe","ffq_fruit_avocado","ffq_fruit_apples","ffq_fruit_pears","ffq_fruit_oranges","ffq_fruit_grapefruit","ffq_fruit_check30","ffq_fruit_strawberries","ffq_fruit_blueberries","ffq_fruit_peaches","ffq_fruit_plums","ffq_time_First.Click","ffq_time_Last.Click","ffq_time_Page.Submit","ffq_time_Click.Count","e01","e02","e03","e04","e05","e06r","e07r","e08","check_2","m01","m02","m03","m04","m05","m06","m07r","check_7","comments","assignmentId","hitId","workerId","surv_time","surv_pay"
"Start Date","End Date","Response Type","07ceb499159bef0b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",NA,NA,"Distribution Channel","User Language","Please indicate your gender","Please enter your age","What is the highest level of education or degree that you have attained?","What is your annual household income?","On an average day, about how many servings of fruit do you eat? For most fruits, a serving is one cup raw fruit or 1/2 cup cooked fruit.","On an average day, about how many servings of vegetables do you eat? For most vegetables, a serving is one cup raw vegetables or 1/2 cup cooked vegetables. For leafy vegetables like lettuce, a serving is 2 cups raw or 1 cup cooked.","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Tomatoes (1 large or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - String beans (1 cup cooked)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Beans or lentils, baked, dried or soup (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Peas or lima beans (1 cup fresh, frozen, canned)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Broccoli (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Cauliflower (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Cabbage or coleslaw (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Carrots (1 carrot or 4-8 sticks)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Eggplant, zucchini, or Squash (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Sweet potatoes or yams (1 large or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Please select one to two per week","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Kale, mustard greens or chard (1 cup cooked, 2 cups raw)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Spinach, cooked (1 cup) or raw (2 cups)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Lettuce, Iceberg or Romaine (2 cups)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Celery (2 large stalks or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Peppers: green, yellow, or red (1 large or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Onions, raw (1 cup) or cooked (1/2 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Asparagus (6 spears or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Mushrooms, raw or cooked (1/2 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Grapes (32 or 1 cup) or Raisins (1 oz)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Bananas (1)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Cantaloupe (2 wedges or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Avocado (1/2 fruit or 1/2 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Apples (1 small) or Applesauce (1/2 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Pears (1)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Oranges (1 large)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Grapefruit (1 medium-sized or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Please select one per day or more","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Strawberries, fresh, frozen or canned (8 or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Blueberries, fresh, frozen or canned (1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Peaches (1 fresh or 1 cup)","On average, how often do you eat a serving of each of the foods below? For each food listed, select the choice indicating how often you eat the serving amount specified for each food. - Plums (2-3 or 1 cup)","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","""People who regularly eat fruits and vegetables rarely get sick.""","""People who don’t eat the recommended amount and variety of fruits and vegetables are increasing their risk of serious diseases like heart disease and cancer.""","""Eating the recommended amount of fruits and vegetables can make you feel better in a very short period of time.""","""People who have health problems as they age could have prevented those problems by eating more fruits and vegetables when they were younger.""","""You can’t ever feel your best if you’re not eating fruits and vegetables regularly.""","""Whether you eat well or not won’t make much difference if your genetics predispose you to be unhealthy.""","""As you get older, you are likely to develop health problems regardless of how you eat.""","“If someone was going to make just one change to their lifestyle to improve their health, either eating more fruits and vegetables, getting more sleep, exercising more, or drinking less alcohol, they should eat more fruits and vegetables.”","""For this item please choose 'disagree' to show that you are paying attention.""","""If the price of produce increased, I’d cut back on spending elsewhere so I could still purchase the recommended amount of fruits and vegetables.""","""To me it would be worth spending an extra 15 minutes on preparation to incorporate more vegetables into a meal.""","""I’m willing to drive a good deal out of my way to the grocery store if it means having a better selection of fresh produce.""","""I plan to learn new cooking techniques so that I can make vegetables tastier.""","""I’m willing to take time each week to plan and be strategic about my shopping so I can always have fruits and vegetables on hand, whether they be fresh or frozen.""","""I’m going to plan my meals and shopping so that I am eating a vegetable-based meal like a salad for several meals each week.”","""I know I should eat more fruits and vegetables but I don’t feel very motivated to do so.""","""For this item please choose 'strongly agree' so we know you are paying attention.""","Thank you for your participation in this study. Do you have any comments about the study or about your responses?","assignmentId","hitId","b953548792ca98d5","surv_time","surv_pay"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","c91890b20bf88706","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID54""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_194""}","{""ImportId"":""QID16_225""}","{""ImportId"":""QID16_226""}","{""ImportId"":""QID16_227""}","{""ImportId"":""QID16_228""}","{""ImportId"":""QID16_229""}","{""ImportId"":""QID16_230""}","{""ImportId"":""QID16_231""}","{""ImportId"":""QID16_232""}","{""ImportId"":""QID16_233""}","{""ImportId"":""QID16_234""}","{""ImportId"":""QID16_235""}","{""ImportId"":""QID16_236""}","{""ImportId"":""QID16_237""}","{""ImportId"":""QID16_238""}","{""ImportId"":""QID16_239""}","{""ImportId"":""QID16_240""}","{""ImportId"":""QID16_241""}","{""ImportId"":""QID16_242""}","{""ImportId"":""QID17_156""}","{""ImportId"":""QID17_175""}","{""ImportId"":""QID17_176""}","{""ImportId"":""QID17_177""}","{""ImportId"":""QID17_178""}","{""ImportId"":""QID17_179""}","{""ImportId"":""QID17_180""}","{""ImportId"":""QID17_181""}","{""ImportId"":""QID17_182""}","{""ImportId"":""QID17_183""}","{""ImportId"":""QID17_184""}","{""ImportId"":""QID17_185""}","{""ImportId"":""QID17_186""}","{""ImportId"":""QID51_FIRST_CLICK""}","{""ImportId"":""QID51_LAST_CLICK""}","{""ImportId"":""QID51_PAGE_SUBMIT""}","{""ImportId"":""QID51_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","1e4c866bda044438","{""ImportId"":""surv_time""}","{""ImportId"":""surv_pay""}"
"2019-02-26 09:00:40","2019-02-26 09:02:04","0","c153b57efb9dd2ad","100","83","1","2019-02-26 09:02:05","R_1QtoB6GXzXJrxPS","","","","",47.31,-122.36,"anonymous","EN","0","31","2","3","3","2.5","2.5","6","6","30","6","1","6","6","1","30","6","1","30","1","30","30","1","6","1","1","1","2.5","1","6","1","1","1","16","1","30","6","6","0","0","2.746","0","1","2","6","6","4","2","6","2","2","5","2","6","6","4","3","4","7","","3K9FOBBF2HJ19ORZK2CFF3ZPP50NL3","3S4TINXCC0N4SG7542IWS580JUKBOS","34851c856710d136","8","1.10"
"2019-02-26 09:00:49","2019-02-26 09:02:58","0","bc1b82b029c6d630","100","128","1","2019-02-26 09:02:58","R_3lFGUfaREFe6isn","","","","",38.93,-77.26,"anonymous","EN","0","33","5","4","2.5","3","16","16","6","2.5","2.5","30","2.5","6","30","6","6","2.5","2.5","2.5","6","2.5","6","6","2.5","6","6","6","16","6","6","16","16","30","1","2.5","6","2.5","0","0","2.631","0","6","5","3","5","3","7","4","2","2","5","4","3","5","7","1","5","7","","3VJ40NV2QIN7AMZGUQEJGJ9B9SRTOR","3S4TINXCC0N4SG7542IWS580JUKBOS","3c513b8a31a2a8e7","8","1.10"
"2019-02-26 09:01:14","2019-02-26 09:03:10","0","7a794884f5daba80","100","115","1","2019-02-26 09:03:10","R_2wbOvAar2GMh9e3","","","","",25.78,-80.18,"anonymous","EN","1","27","6","5","3","4","6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6","1","1","1","1","1","1","1","30","1","1","2.5","1","1.436","14.318","15.499","4","6","5","5","5","5","2","2","5","2","5","5","6","5","5","5","3","7","","3H7Z272LX771C93C0HP7JS4KPK1LPX","3S4TINXCC0N4SG7542IWS580JUKBOS","434f93e0a4a2804b","8","1.10"
"2019-02-26 09:00:47","2019-02-26 09:03:10","0","a9a143115f27fa76","100","142","1","2019-02-26 09:03:11","R_3egKZScCNL0Sd20","","","","",42.17,-72.85,"anonymous","EN","1","21","4","5","2","2","2.5","16","16","6","6","1","2.5","6","2.5","16","6","16","16","30","16","6","30","6","6","2.5","16","16","6","2.5","1","6","1","30","6","6","16","1","2.257","26.632","27.868","15","4","6","6","5","5","2","3","5","2","5","5","4","5","5","4","3","7","","3K9FOBBF2HJ19ORZK2CFF3ZPP50LN1","3S4TINXCC0N4SG7542IWS580JUKBOS","5337d93f87ca6867","8","1.10"
"2019-02-26 09:00:48","2019-02-26 09:03:17","0","ba5b190186490ab1","100","149","1","2019-02-26 09:03:18","R_dcLUKBKEwLZGfDj","","","","",33.49,-111.98,"anonymous","EN","1","26","5","6","2","2.5","16","2.5","16","2.5","30","2.5","1","1","6","16","6","1","6","6","30","16","16","1","2.5","2.5","1","16","1","6","1","6","1","30","16","1","6","2.5","4.051","24.192","25.002","28","4","6","7","3","5","3","1","5","2","4","6","3","5","5","6","5","7","","3KAKFY4PGU2SFJQJHGVNE99R3KG3IQ","3S4TINXCC0N4SG7542IWS580JUKBOS","78ca1b96a5cef932","8","1.10"
"2019-02-26 09:00:53","2019-02-26 09:03:24","0","f21a222165de9be1","100","151","1","2019-02-26 09:03:25","R_1dKqLnU7z3qHZn5","","","","",10.99,76.97,"anonymous","EN","1","35","6","5","4","3","2.5","1","2.5","6","16","2.5","6","30","16","2.5","1","2.5","6","6","2.5","1","2.5","16","2.5","2.5","30","2.5","6","1","6","1","6","30","16","2.5","6","16","1.794","22.863","23.809","26","5","5","7","7","5","2","1","6","2","5","6","6","7","5","5","2","7","good","3CN4LGXD5XOZNFOSLCM9A2VL739Y4B","3S4TINXCC0N4SG7542IWS580JUKBOS","b039b8560c121103","8","1.10"
"2019-02-26 09:00:39","2019-02-26 09:03:25","0","67c9b8faadbb9129","100","165","1","2019-02-26 09:03:25","R_3O6MR1WpbFQasc9","","","","",42.83,-88.74,"anonymous","EN","1","24","4","2","5","3","2.5","1","1","1","1","1","1","2.5","1","1","6","1","1","6","1","2.5","2.5","1","1","16","1","1","1","6","6","6","1","30","6","2.5","2.5","2.5","0.916","27.032","27.675","30","5","4","4","6","6","2","3","3","5","5","6","3","7","6","6","3","7","NONE","3WZ36BJEV3GNRSA7QL9XAZ9C2T8TBN","3S4TINXCC0N4SG7542IWS580JUKBOS","7cceb8602886ae5d","8","1.10"
"2019-02-26 09:00:48","2019-02-26 09:03:26","0","47a010c686ec310f","100","157","1","2019-02-26 09:03:26","R_8izVmneHZFYRZMl","","","","",40.99,-75.24,"anonymous","EN","0","28","2","4","3","5","1","1","1","1","2.5","6","2.5","6","6","30","6","30","30","1","2.5","6","6","6","16","1","30","2.5","6","30","2.5","2.5","1","30","6","30","1","1","0.723","27.63","29.203","17","5","7","7","7","7","7","7","7","2","4","5","5","4","5","4","4","5","","3WOKGM4L71G6UD2PWOQ9W876CHUO0A","3S4TINXCC0N4SG7542IWS580JUKBOS","33cc088269b5504c","8","1.10"
